date_of_month,births
1,10974.361111111111
2,11111.186507936507
3,11167.70634920635
4,10978.670634920634
5,11109.083333333334
6,11141.460317460318
7,11257.567460317461
8,11274.07142857143
9,11202.857142857143
10,11294.317460317461
11,11217.59126984127
12,11301.13492063492
13,10942.285714285714
14,11333.301587301587
15,11318.019841269841
16,11284.186507936507
17,11336.432539682539
18,11336.952380952382
19,11276.654761904761
20,11375.575396825398
21,11361.488095238095
22,11265.107142857143
23,11104.845238095239
24,10938.761904761905
25,10795.011904761905
26,10944.182539682539
27,11119.888888888889
28,11221.52380952381
29,11219.31779661017
30,11232.142857142857
31,10872.986394557824
