year,date_category,births
1994,non_13,10839.626062322946
1995,non_13,10679.617563739377
1996,non_13,10640.488700564973
1997,non_13,10647.13597733711
1998,non_13,10805.677053824362
1999,non_13,10856.807365439094
2000,non_13,11341.790960451977
2001,non_13,11264.300283286118
2002,non_13,11243.039660056656
2003,non_13,11423.059490084986
2004,non_13,11440.127118644068
2005,non_13,11554.549575070821
2006,non_13,11867.790368271955
2007,non_13,11999.43909348442
2008,non_13,11808.443502824859
2009,non_13,11490.15014164306
2010,non_13,11123.308781869688
2011,non_13,10994.113314447592
2012,non_13,10923.24011299435
2013,non_13,10897.215297450424
2014,non_13,11001.801699716714
1994,day_13,10531.583333333334
1995,day_13,10807.0
1996,day_13,10396.75
1997,day_13,10204.583333333334
1998,day_13,10595.75
1999,day_13,10580.333333333334
2000,day_13,11217.0
2001,day_13,11222.083333333334
2002,day_13,10876.666666666666
2003,day_13,10893.333333333334
2004,day_13,11421.5
2005,day_13,11098.75
2006,day_13,12152.0
2007,day_13,12081.833333333334
2008,day_13,10879.0
2009,day_13,11247.333333333334
2010,day_13,10787.25
2011,day_13,10498.833333333334
2012,day_13,11170.083333333334
2013,day_13,10551.666666666666
2014,day_13,10574.666666666666
1994,friday_13,11085.0
1995,friday_13,11074.5
1996,friday_13,11321.0
1997,friday_13,11214.0
1998,friday_13,11097.0
1999,friday_13,11924.0
2000,friday_13,11723.0
2001,friday_13,11534.0
2002,friday_13,12314.0
2003,friday_13,12013.0
2004,friday_13,12012.0
2005,friday_13,11803.0
2006,friday_13,12311.0
2007,friday_13,12698.0
2008,friday_13,12394.0
2009,friday_13,11886.0
2010,friday_13,12092.0
2011,friday_13,11125.0
2012,friday_13,11466.333333333334
2013,friday_13,12076.5
2014,friday_13,11651.0
1994,mon_thurs_13,11615.42857142857
1995,mon_thurs_13,11289.0
1996,mon_thurs_13,11324.0
1997,mon_thurs_13,11194.142857142857
1998,mon_thurs_13,11532.5
1999,mon_thurs_13,11758.42857142857
2000,mon_thurs_13,12236.0
2001,mon_thurs_13,12374.714285714286
2002,mon_thurs_13,12276.833333333334
2003,mon_thurs_13,12235.714285714286
2004,mon_thurs_13,12623.0
2005,mon_thurs_13,12897.0
2006,mon_thurs_13,13120.375
2007,mon_thurs_13,13557.142857142857
2008,mon_thurs_13,12915.0
2009,mon_thurs_13,12672.666666666666
2010,mon_thurs_13,12348.142857142857
2011,mon_thurs_13,12303.714285714286
2012,mon_thurs_13,12082.857142857143
2013,mon_thurs_13,12012.5
2014,mon_thurs_13,11848.42857142857
1994,weekend_13,9014.2
1995,weekend_13,9843.0
1996,weekend_13,9469.5
1997,weekend_13,8819.2
1998,weekend_13,9659.0
1999,weekend_13,8931.0
2000,weekend_13,9179.0
2001,weekend_13,9608.4
2002,weekend_13,9476.5
2003,weekend_13,9014.0
2004,weekend_13,9739.4
2005,weekend_13,8581.2
2006,weekend_13,10215.25
2007,weekend_13,10016.4
2008,weekend_13,8843.0
2009,weekend_13,9822.0
2010,weekend_13,8602.0
2011,weekend_13,7972.0
2012,weekend_13,9892.2
2013,weekend_13,9090.833333333334
2014,weekend_13,8791.4
